word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
谈成,6,3,4,"listening,reading",2,True,False,True,False
低着头,6,5,3,"listening,reading",3,True,False,True,False
酸菜鱼,6,3,4,"listening,reading",3,True,False,True,False
加深,5,5,4,"listening,reading",2,True,False,True,True
进门,5,4,"3,4","listening,reading",2,True,False,True,True
花完,5,2,4,"listening,reading",2,True,False,True,False
工具书,5,3,4,"listening,reading",3,False,False,True,True
脱掉,5,3,4,"listening,reading",2,True,False,True,True
进球,5,5,4,"listening,reading",2,True,False,True,True
姓李,5,3,"3,4","listening,reading",2,False,False,True,False
脚疼,5,5,3,reading,2,True,False,False,False
酒瓶,5,2,4,reading,2,True,False,True,False
书本上,5,3,4,"listening,reading",3,True,False,True,False
九江市,5,1,4,"listening,reading",3,True,False,True,True
试一试,5,4,4,"listening,reading",3,True,False,True,True
桌上,5,5,"3,4","listening,reading",2,False,False,True,False
室内空气,5,3,4,"listening,reading",4,True,False,True,False
家住,5,2,3,"listening,reading",2,True,False,True,False
邓亚萍,5,3,4,reading,3,False,False,True,True
姐妹俩,5,2,4,"listening,reading",3,False,False,True,False
那棵树,5,5,4,reading,3,True,False,False,False
汗水,5,5,4,reading,2,True,False,True,True
节约用电,5,5,4,"listening,reading",4,True,False,True,False
丽丽,5,2,4,"listening,reading",2,False,False,True,True
没考上,5,3,4,"listening,reading",3,True,False,True,False
报个,5,3,4,"listening,reading",2,True,False,False,False
爬树,5,5,"3,4",reading,2,True,False,True,False
赵,5,2,3,"listening,reading",1,False,False,True,True
给我发,5,4,"3,4","listening,reading",3,True,False,True,False
啤酒节,5,3,"3,4",reading,3,False,False,True,True
租出去,5,4,4,reading,3,True,False,True,False
课前预习,5,5,4,reading,4,False,False,True,False
听过,5,2,"3,4","listening,reading",2,True,False,False,False
听歌,5,5,"3,4","listening,reading",2,True,False,True,False
穿点,5,3,"3,4",listening,2,True,False,True,False
听不懂,5,2,4,"listening,reading",3,True,False,True,True
向东走,5,4,3,"listening,reading",3,True,False,True,False
运动量,5,4,4,"listening,reading",3,True,False,True,False
穿过,5,5,3,"listening,reading",2,True,False,True,True
窗边,5,4,4,reading,2,False,False,False,False
红绿灯,5,3,"3,4","listening,reading",3,True,False,True,True
谈论,5,3,4,"listening,reading",2,False,False,True,True
叫住,5,3,4,reading,2,True,False,True,False
笔画,5,5,3,"listening,reading",2,True,False,True,True
同一个,5,4,"3,4","listening,reading",3,True,False,True,False
简短,5,1,4,"listening,reading",2,False,False,True,True
睡一觉,5,3,"3,4","listening,reading",3,True,False,True,False
足球赛,5,3,4,"listening,reading",3,True,False,True,True
绿草,5,2,3,"listening,reading",2,True,False,True,True
踢进,5,4,"3,4","listening,reading",2,True,False,True,False
卖光,5,4,4,"listening,reading",2,True,False,True,False
刮起,5,3,"3,4","listening,reading",2,True,False,True,False
聪明人,5,2,"3,4",reading,3,False,False,True,False
聊聊天,5,5,"3,4","listening,reading",3,True,False,True,False
天桥,5,3,4,"listening,reading",2,True,False,True,True
天外有天,5,1,4,"listening,reading",4,True,False,True,False
人常,5,5,"3,4",reading,2,True,False,False,False
人有,5,5,"3,4",reading,2,True,False,False,False
值得一看,5,3,4,"listening,reading",4,True,False,True,False
借给,5,4,"3,4","listening,reading",2,True,False,True,True
外国人,5,2,"3,4","listening,reading",3,True,False,True,True
