word,total_count,exam_count,hsk_levels_seen,source_types_seen,char_length,all_chars_known,likely_noise,in_jieba_dict,in_cedict
鱼肉,2,1,4,"listening,reading",2,True,True,True,True
换取,2,1,4,"listening,reading",2,True,True,True,True
换台,2,2,4,listening,2,True,False,True,True
要说,2,2,"3,4",reading,2,True,False,True,True
高矮,2,1,4,"listening,reading",2,True,True,True,True
挂断,2,1,4,"listening,reading",2,True,True,True,True
解渴,2,2,4,listening,2,True,False,True,True
抬起,2,2,4,"listening,reading",2,True,False,True,True
抬高,2,2,4,"listening,reading",2,True,False,True,True
解梦,2,1,4,reading,2,True,True,True,True
择,2,2,"3,4",reading,1,False,False,True,True
象,2,2,4,reading,1,False,False,True,True
拼力,2,2,3,listening,2,True,False,True,True
纸币,2,1,4,"listening,reading",2,False,True,True,True
赛车,2,1,4,reading,2,True,True,True,True
纸条,2,1,4,"listening,reading",2,True,True,True,True
文,2,2,3,reading,1,False,False,True,True
马云,2,1,3,"listening,reading",2,True,True,False,True
